Height,Wind
1,3
4,7
7,11
11,15
13,19
14,23
17,27
17,34
21,38
23,42
23,52
23,61
24,67
26,73
28,77
28,85
28,92
31,96
32,103
33,108
34,112
36,117
37,123
39,129
39,135
40,139
43,143
46,147
48,153
48,165
49,169
51,174
54,178
54,187
54,193
55,197
58,201
60,206
62,212
62,218
63,222
66,226
69,230
69,246
69,252
70,256
73,260
75,265
77,271
77,280
78,284
80,289
83,293
87,297
87,307
87,319
89,324
92,328
94,334
96,338
97,342
100,346
100,358
101,365
101,375
102,379
104,384
105,390
107,396
107,403
108,407
111,411
113,416
117,420
117,430
117,438
117,446
118,452
120,458
122,462
123,466
125,471
126,477
129,482
129,491
129,498
130,504
133,508
133,521
135,525
136,529
139,533
141,538
143,544
145,548
146,552
149,556
152,560
152,570
152,576
153,580
156,584
159,588
161,594
163,598
164,602
167,606
169,611
171,617
173,621
174,625
177,629
179,634
181,640
181,649
182,653
184,658
186,663
187,670
187,677
187,682
190,686
193,690
195,696
195,704
196,708
199,712
201,717
201,738
201,754
201,760
203,765
205,770
209,774
209,785
209,794
209,802
211,807
211,817
213,821
213,829
213,836
216,840
216,850
218,854
219,858
222,862
224,867
225,874
225,889
226,893
228,898
231,902
231,911
231,920
232,924
234,929
237,933
237,945
237,954
237,960
239,965
242,969
242,982
244,986
245,990
247,995
249,1000
249,1008
249,1014
250,1018
253,1022
256,1026
258,1032
258,1040
259,1044
259,1056
262,1060
264,1066
266,1070
267,1074
270,1078
273,1082
275,1088
277,1092
278,1096
281,1100
284,1104
284,1123
286,1127
287,1131
290,1135
293,1139
293,1154
293,1160
294,1164
297,1168
300,1172
302,1178
304,1182
305,1186
307,1191
309,1196
311,1202
311,1210
312,1214
315,1218
318,1222
318,1232
318,1238
319,1242
322,1246
325,1250
327,1256
327,1262
328,1266
331,1270
334,1274
336,1280
336,1286
337,1290
340,1294
340,1301
344,1305
346,1309
346,1319
346,1328
347,1334
347,1344
347,1350
348,1354
350,1359
353,1363
355,1369
355,1380
356,1384
359,1388
362,1392
362,1402
362,1408
363,1412
366,1416
369,1420
369,1430
369,1436
370,1440
372,1445
375,1449
379,1453
379,1463
379,1471
379,1478
382,1482
382,1490
382,1497
383,1501
385,1506
387,1511
389,1517
389,1523
390,1527
393,1531
396,1535
396,1545
396,1551
397,1555
400,1559
402,1564
404,1570
404,1579
405,1583
407,1588
410,1592
412,1598
414,1602
415,1606
417,1611
418,1617
421,1622
421,1631
421,1638
423,1643
426,1647
428,1653
428,1659
429,1663
432,1667
435,1671
437,1677
439,1681
440,1685
443,1689
446,1693
446,1703
446,1709
446,1715
449,1719
449,1727
452,1732
452,1740
452,1746
453,1752
454,1758
456,1764
456,1770
457,1774
460,1778
463,1782
463,1793
465,1797
465,1805
465,1812
468,1816
468,1826
470,1830
471,1834
473,1839
474,1845
476,1851
476,1859
476,1865
478,1870
479,1876
483,1880
485,1884
486,1888
489,1892
492,1896
496,1900
496,1910
497,1914
500,1918
503,1922
505,1928
505,1940
506,1944
509,1948
512,1952
514,1958
514,1964
515,1968
517,1973
519,1978
519,1986
519,1992
520,1996
523,2000
526,2004
526,2015
528,2019
529,2023
531,2028
532,2034
534,2040
536,2044
536,2053
536,2061
537,2067
540,2072
540,2079
540,2084
543,2088
543,2095
545,2101
545,2109
546,2113
549,2117
551,2122
553,2128
553,2134
554,2138
556,2143
559,2147
561,2153
563,2157
564,2161
567,2165
570,2169
570,2189
570,2197
571,2201
574,2205
577,2209
581,2213
581,2223
582,2227
585,2231
588,2235
592,2239
592,2249
593,2253
595,2258
598,2262
598,2271
598,2277
599,2281
602,2285
604,2290
606,2296
608,2300
609,2304
612,2308
615,2312
617,2318
617,2324
618,2328
621,2332
624,2336
626,2342
628,2346
629,2350
632,2354
635,2358
639,2362
641,2366
642,2370
645,2374
648,2378
648,2442
648,2465
649,2469
649,2476
652,2480
656,2484
656,2496
657,2500
657,2511
660,2515
664,2519
664,2529
664,2537
664,2544
667,2548
668,2555
670,2559
671,2563
671,2572
672,2578
676,2582
676,2591
677,2595
680,2599
682,2604
686,2608
688,2612
689,2616
691,2621
693,2626
695,2632
697,2636
698,2640
701,2644
704,2648
704,2666
704,2672
705,2676
707,2681
708,2687
710,2693
710,2701
711,2705
714,2709
714,2716
717,2721
719,2725
720,2729
722,2734
725,2738
725,2747
727,2751
728,2755
731,2759
734,2763
734,2778
734,2788
734,2794
735,2800
737,2805
741,2809
741,2819
742,2823
745,2827
747,2832
747,2846
749,2850
750,2854
752,2859
753,2865
755,2871
755,2877
755,2884
756,2890
758,2895
760,2901
760,2910
760,2917
762,2922
764,2927
766,2933
766,2939
767,2943
770,2947
772,2952
774,2958
776,2962
777,2966
777,2979
780,2983
780,2997
780,3007
781,3011
784,3015
787,3019
787,3039
787,3045
788,3049
790,3054
791,3060
793,3066
795,3070
796,3074
798,3079
799,3085
801,3091
